asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,General FinBERT LSTM vs random walk,phase2_general_lstm,random_walk_zero_return,0.01661481634675474,0.01666484938256064,-5.003303580589785e-05,0.26144234273134204,304
BTC,Crypto FinBERT LSTM vs random walk,phase3_crypto_lstm,random_walk_zero_return,0.017040135464487672,0.016664849382560683,0.0003752860819269885,0.9960312372969183,304
BTC,General FinBERT LSTM vs ARIMA,phase2_general_lstm,arima,0.01661481634675474,0.0166770411305337,-6.222478377895801e-05,0.14724424486343873,304
BTC,Crypto FinBERT LSTM vs ARIMA,phase3_crypto_lstm,arima,0.017040135464487672,0.01667704113053374,0.0003630943339539318,0.9909434225441676,304
BTC,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.017040135464487672,0.016614816346754786,0.00042531911773288633,0.9992640886545824,304
BTC,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,0.01717294948376571,0.01666484938256064,0.000508100101205073,0.9312450836761632,304
BTC,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,0.017682591007603436,0.016664849382560683,0.0010177416250427528,0.9958989200963422,304
BTC,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,0.01717294948376571,0.0166770411305337,0.0004959083532320128,0.9279036591152986,304
BTC,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,0.017682591007603436,0.01667704113053374,0.001005549877069696,0.9946602172800589,304
BTC,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,0.017682591007603436,0.01717294948376575,0.0005096415238376867,0.9140026723616317,304
ETH,General FinBERT LSTM vs random walk,phase2_general_lstm,random_walk_zero_return,0.024450611844703072,0.02293881618496425,0.0015117956597388224,0.9999199176623678,304
ETH,Crypto FinBERT LSTM vs random walk,phase3_crypto_lstm,random_walk_zero_return,0.023512778895367726,0.02293881618496429,0.0005739627104034348,0.9933583679518424,304
ETH,General FinBERT LSTM vs ARIMA,phase2_general_lstm,arima,0.024450611844703072,0.022992327544432867,0.0014582843002702052,0.9998761261376055,304
ETH,Crypto FinBERT LSTM vs ARIMA,phase3_crypto_lstm,arima,0.023512778895367726,0.022992327544432912,0.0005204513509348141,0.9904708961743405,304
ETH,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.023512778895367726,0.02445061184470311,-0.0009378329493353842,0.0001571047465652803,304
ETH,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,0.02410253920835158,0.02293881618496425,0.0011637230233873322,0.9976060025245975,304
ETH,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,0.024686369537748026,0.02293881618496429,0.0017475533527837352,0.9999238051243204,304
ETH,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,0.02410253920835158,0.022992327544432867,0.001110211663918715,0.9970133882324231,304
ETH,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,0.024686369537748026,0.022992327544432912,0.0016940419933151145,0.999892107604523,304
ETH,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,0.024686369537748026,0.024102539208351613,0.0005838303293964134,0.8404163118591277,304
