asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family
BTC,benchmark_comparisons,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,0.01704013546448762,0.01666484938256064,0.00037528608192698154,0.00037528608192698246,2.7469277639401923,5,0.006375709294791261,0.00793752540616339,0.9960312372969183,304,0.038254255768747567,0.047625152436980345
BTC,benchmark_comparisons,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,0.01704013546448762,0.0166770411305337,0.0003630943339539214,0.00036309433395392365,2.5152191340240675,5,0.012413140135717943,0.01811315491166485,0.9909434225441676,304,0.062065700678589714,0.047625152436980345
BTC,temporal_ablation,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.01684802745023663,0.01704013546448766,-0.00019210801425103077,-0.0001921080142510325,-2.374316184623753,5,0.01820430075781184,0.012572961203656861,0.0062864806018284305,304,0.29126881212498945,0.20116737925850978
BTC,temporal_ablation,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.0167630123582427,0.01704013546448766,-0.0002771231062449614,-0.00027712310624496036,-3.1741830688071593,5,0.00165706093357958,0.0009821988949892694,0.0004910994474946347,304,0.0331412186715916,0.01964397789978539
BTC,temporal_ablation,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.01681752023376976,0.01704013546448766,-0.00022261523071790204,-0.00022261523071790136,-2.8072120984385105,5,0.005321213238731216,0.0029253785183960155,0.0014626892591980078,304,0.10110305153589311,0.055582191849524294
BTC,temporal_ablation,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.01681752023376976,0.01684802745023663,-3.0507216466871268e-05,-3.050721646686883e-05,-0.8693274471727369,5,0.3853561533659561,0.3249014930436206,0.1624507465218103,304,1.0,1.0
BTC,temporal_ablation,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.01681752023376976,0.0167630123582427,5.450787552705935e-05,5.450787552705903e-05,2.1599687107087546,5,0.0315591362708334,0.051491998007271916,0.9742540009963641,304,0.4418279077916676,0.7208879721018069
BTC,benchmark_comparisons,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,0.017682591007603388,0.01666484938256064,0.0010177416250427493,0.0010177416250427493,2.3090519860770193,5,0.021613260387874558,0.008202159807315663,0.9958989200963422,304,0.06966537742812114,0.047625152436980345
BTC,benchmark_comparisons,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,0.017682591007603388,0.0166770411305337,0.0010055498770696891,0.0010055498770696906,2.3197260406931655,5,0.02102013124449175,0.01067956543988223,0.9946602172800589,304,0.06966537742812114,0.047625152436980345
BTC,temporal_ablation,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,0.01801305474404623,0.017682591007603422,0.0003304637364428091,0.00033046373644280693,0.8017681971136338,5,0.4233153882237056,0.49034719959895234,0.7548264002005238,304,1.0,1.0
BTC,temporal_ablation,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,0.017682591007603436,0.017682591007603422,1.3877787807814457e-17,1.3003293160796544e-17,0.0,5,1.0,1.0,1.0,304,1.0,1.0
BTC,temporal_ablation,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,0.01801305474404623,0.017682591007603422,0.0003304637364428091,0.00033046373644280693,0.8017681971136338,5,0.4233153882237056,0.49034719959895234,0.7548264002005238,304,1.0,1.0
BTC,temporal_ablation,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,0.01801305474404623,0.01801305474404623,0.0,0.0,0.0,5,1.0,1.0,1.0,304,1.0,1.0
BTC,temporal_ablation,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,0.01801305474404623,0.017682591007603436,0.0003304637364427952,0.0003304637364427939,0.8017681971136023,5,0.4233153882237236,0.49034719959895234,0.7548264002005238,304,1.0,1.0
ETH,benchmark_comparisons,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,0.023512778895367677,0.02293881618496425,0.0005739627104034278,0.0005739627104034329,2.390921225083662,5,0.017416344357030284,0.0132832640963153,0.9933583679518424,304,0.06966537742812114,0.047625152436980345
ETH,benchmark_comparisons,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,0.023512778895367677,0.022992327544432867,0.0005204513509348106,0.0005204513509348108,2.236032770460192,5,0.02607748255948298,0.01905820765131898,0.9904708961743405,304,0.06966537742812114,0.047625152436980345
ETH,temporal_ablation,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.022989120154932347,0.023512778895367716,-0.000523658740435369,-0.0005236587404353736,-2.3397751395520423,5,0.019944492528145133,0.026427649967910426,0.013213824983955213,304,0.299167387922177,0.3964147495186564
ETH,temporal_ablation,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.02295798356089699,0.023512778895367716,-0.0005547953344707257,-0.0005547953344707254,-2.6545702861263427,5,0.008360460042102521,0.005006445920855066,0.002503222960427533,304,0.15048828075784537,0.09011602657539118
ETH,temporal_ablation,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.022929001316819898,0.023512778895367716,-0.0005837775785478179,-0.0005837775785478176,-2.5772834581320443,5,0.010430719082450496,0.007815658270168861,0.0039078291350844304,304,0.17732222440165843,0.13286619059287064
ETH,temporal_ablation,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.022929001316819898,0.022989120154932347,-6.0118838112448864e-05,-6.0118838112443964e-05,-0.6231525037424653,5,0.5336530669231865,0.5477784937617034,0.2738892468808517,304,1.0,1.0
ETH,temporal_ablation,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.022929001316819898,0.02295798356089699,-2.8982244077092184e-05,-2.898224407709215e-05,-0.6906559028006477,5,0.4903105343015519,0.5361174272643594,0.2680587136321797,304,1.0,1.0
ETH,benchmark_comparisons,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,0.02468636953774798,0.02293881618496425,0.0017475533527837317,0.0017475533527837354,3.4761695847581406,5,0.0005829807749487307,0.00015238975135909997,0.9999238051243204,304,0.004663846199589846,0.0012191180108727998
ETH,benchmark_comparisons,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,0.02468636953774798,0.022992327544432867,0.0016940419933151145,0.0016940419933151132,3.395496399526372,5,0.0007763846022945777,0.00021578479095396875,0.999892107604523,304,0.005434692216062044,0.0015104935366777813
