asset,phase,model,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_p_value_mean,directional_accuracy_p_value_std
BTC,phase3_reference,lstm,phase3_reference_lstm,0.01719655786610898,6.0183522081174106e-05,0.024439005595538833,8.017989173914376e-05,-0.037927567839591704,0.006819708054329644,0.4875,0.018666132840935636,0.6627889528217592,0.21796883012572152
BTC,phase3_reference,xgb,phase3_reference_xgb,0.017780936905759975,0.00023681372258845058,0.025049844105534468,0.00027700350560738105,-0.0905580391540893,0.02417583234205832,0.4921052631578947,0.01587831366598309,0.6120112540949323,0.18358938488848545
BTC,phase4_combined,lstm,phase4_combined_lstm,0.01681886397283787,3.896058143002941e-05,0.024153464567257116,3.170444722204226e-05,-0.013807999604570664,0.0026614708764827353,0.48026315789473684,0.0,0.7720180847000842,0.0
BTC,phase4_combined,xgb,phase4_combined_xgb,0.01812737729510672,0.0002316285398365627,0.025563274814686295,0.00016601118856441024,-0.13564835454903293,0.014800806519978399,0.4947368421052632,0.01995493537908303,0.5810397046214884,0.24830820792944452
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.01677580651262487,3.449993780932692e-05,0.02411198805770421,2.6412982415627273e-05,-0.010328729065397724,0.002214283304280667,0.48026315789473684,0.0,0.7720180847000842,0.0
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.017780936905759975,0.00023681372258845058,0.025049844105534468,0.00027700350560738105,-0.0905580391540893,0.02417583234205832,0.4921052631578947,0.01587831366598309,0.6120112540949323,0.18358938488848545
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.016860745673380455,9.273363355181952e-05,0.02423120764956473,8.156547649070325e-05,-0.02035266040957371,0.0068791773927806155,0.4861842105263158,0.009702553423521465,0.6985990269056026,0.12510999546203777
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.01812737729510672,0.0002316285398365627,0.025563274814686295,0.00016601118856441024,-0.13564835454903293,0.014800806519978399,0.4947368421052632,0.01995493537908303,0.5810397046214884,0.24830820792944452
ETH,phase3_reference,lstm,phase3_reference_lstm,0.02360204326690794,0.00027143467389892514,0.03417322649081187,0.00030456792758671073,-0.036699312199861465,0.018483715186140576,0.4934210526315789,0.008057532048628883,0.6093448773839393,0.10555818475482068
ETH,phase3_reference,xgb,phase3_reference_xgb,0.02488549102272434,0.0003280742610312703,0.03524852737837605,0.0003420103926551313,-0.10298068451680038,0.02146206882451155,0.4947368421052632,0.024682015108294843,0.5616209535590772,0.28370803343980533
ETH,phase4_combined,lstm,phase4_combined_lstm,0.02293152943303787,8.851134588623472e-06,0.033604472935574115,5.427468178691228e-06,-0.0024147054858802085,0.0003237777832849885,0.5006578947368421,0.01239568663251103,0.5095598186883158,0.16090374484851744
ETH,phase4_combined,xgb,phase4_combined_xgb,0.02447539659537512,6.667215887782183e-05,0.03429180312568312,0.00017397507854806095,-0.043861379052755736,0.010581570935829013,0.5006578947368421,0.022358744036797943,0.5194151957655327,0.27306243962052834
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.023459178750887183,0.0006942944664716828,0.033979488296805145,0.0005916025849207076,-0.02516133386789341,0.03607133331009237,0.5125,0.01024500756736673,0.36007278601685566,0.12714359013837656
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.02488549102272434,0.0003280742610312703,0.03524852737837605,0.0003420103926551313,-0.10298068451680038,0.02146206882451155,0.4947368421052632,0.024682015108294843,0.5616209535590772,0.28370803343980533
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.023046355252983215,0.0001238646572615914,0.03363749720488572,0.00010977081097794233,-0.004394424229837601,0.006564861376426065,0.5164473684210525,0.019180762811991107,0.33376615753426064,0.20016778768238944
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.02447539659537512,6.667215887782183e-05,0.03429180312568312,0.00017397507854806095,-0.043861379052755736,0.010581570935829013,0.5006578947368421,0.022358744036797943,0.5194151957655327,0.27306243962052834
