asset,split,rows,mean_crypto_weight,median_crypto_weight,mean_reliability_gap_crypto_minus_general
BTC,train,1066,0.500746060776748,0.5147103826323003,-2.666201635122327e-17
BTC,validation,214,0.2533044294934375,0.2519664881454934,-1.1358070796695672
BTC,test,304,0.07282715177010027,0.06906592955767746,-2.657940945004381
ETH,train,1066,0.5013822845784716,0.5119085527379567,2.9328217986345597e-16
ETH,validation,214,0.26957954303595616,0.2641282407747393,-1.0481194003327594
ETH,test,304,0.07929465140266174,0.07413550133626304,-2.577874215648836
