asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,phase3_reference,lstm,phase3_reference_lstm,0.0170401354644876,0.0242968403828836,-0.0258783085284322,0.4802631578947368,0.7720180847000842,304,-2.251962038850848,-2.177210760061602
BTC,phase3_reference,xgb,phase3_reference_xgb,0.0176825910076033,0.0249221858230468,-0.079365432986832,0.4901315789473684,0.6559315415238023,304,-6.107115652108704,-6.029546063951366
BTC,phase4_combined,lstm,phase4_combined_lstm,0.0168950699739359,0.0242411590124643,-0.0211816603017513,0.4835526315789473,0.7359105326836264,304,-1.3814741801159327,-1.3073592713220747
BTC,phase4_combined,xgb,phase4_combined_xgb,0.0180130547440462,0.0254466049121095,-0.125267924816725,0.5098684210526315,0.3871721101757538,304,-8.090114291080294,-8.011095032118163
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.017086302438613,0.0243459998345674,-0.030033798141968,0.4703947368421052,0.8620948714078855,304,-2.5289940903599453,-2.4540402873383727
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.0176825910076034,0.0249221858230469,-0.0793654329868327,0.4901315789473684,0.6559315415238023,304,-6.107115652108996,-6.029546063951657
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.0168480274502366,0.0242147181214183,-0.0189551803347736,0.4835526315789473,0.7359105326836264,304,-1.099188258296761,-1.0252797145761927
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.0180130547440462,0.0254466049121095,-0.125267924816725,0.5098684210526315,0.3871721101757538,304,-8.090114291080294,-8.011095032118163
ETH,phase3_reference,lstm,phase3_reference_lstm,0.0235127788953676,0.0340610626605903,-0.0298397013197524,0.5230263157894737,0.2279819152999158,304,-2.502146169075637,-2.263587059330935
ETH,phase3_reference,xgb,phase3_reference_xgb,0.0246863695377479,0.0350385508511315,-0.0897967685300233,0.5,0.5228621002394082,304,-7.618324061244098,-7.367857777953604
ETH,phase4_combined,lstm,phase4_combined_lstm,0.0229570419481546,0.0335608537829472,0.0001859276587703,0.4967105263157895,0.568287449734703,304,-0.0794538089648816,0.1534668302285795
ETH,phase4_combined,xgb,phase4_combined_xgb,0.0242577740145353,0.0341046362378473,-0.0324762898063519,0.4967105263157895,0.568287449734703,304,-5.749894933268513,-5.503777151995291
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.0233016156535063,0.033845435682045,-0.016841966343138,0.5098684210526315,0.3871721101757538,304,-1.5815963021661132,-1.3451796407986707
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.024686369537748,0.0350385508511316,-0.0897967685300238,0.5,0.5228621002394082,304,-7.618324061244294,-7.367857777953802
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.0229891201549323,0.0336055175560107,-0.0024770071717103,0.5197368421052632,0.2640894673163735,304,-0.2192962773773307,0.0139498251943698
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.0242577740145353,0.0341046362378473,-0.0324762898063519,0.4967105263157895,0.568287449734703,304,-5.749894933268513,-5.503777151995291
BTC,benchmark,arima,arima,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304,-0.07315846482126043,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498233847375
BTC,phase2_general,lstm,phase2_general_lstm,0.01661481634675474,0.02398422036203389,0.00035118088358854216,0.5230263157894737,0.2279819152999158,304,0.3002309511317947,0.3731164496864689
BTC,phase2_general,xgb,phase2_general_xgb,0.01717294948376571,0.02441376448355414,-0.035775769696381854,0.506578947368421,0.4317125502652969,304,-3.0489330538849093,-2.973599149575881
BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.01704013546448762,0.024296840382883652,-0.025878308528432203,0.48026315789473684,0.7720180847000842,304,-2.2519620388508477,-2.1772107600616026
BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.017682591007603388,0.024922185823046873,-0.07936543298683207,0.4901315789473684,0.6559315415238023,304,-6.107115652108704,-6.029546063951366
BTC,phase5_concat,lstm,phase5_concat_lstm,0.016971029849454294,0.02424472186846585,-0.02148185969216132,0.46710526315789475,0.8858173157079974,304,-1.8372831332878403,-1.7628350054392687
BTC,phase5_concat,xgb,phase5_concat_xgb,0.017292423870540554,0.024497381964362297,-0.04288301274741113,0.5230263157894737,0.2279819152999158,304,-3.765857545863033,-3.6899995340307643
BTC,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.016912078171252943,0.024135850737247812,-0.012328511453027602,0.48026315789473684,0.7720180847000842,304,-1.4835344923727767,-1.4093449724056686
BTC,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.017416260406756274,0.02479888234134849,-0.06871144909617755,0.5032894736842105,0.47713789976059184,304,-4.50895778861297,-4.432556533479482
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304,-0.23327864453482902,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179767107
ETH,phase2_general,lstm,phase2_general_lstm,0.024450611844703072,0.03457984272367845,-0.06144933949857889,0.48355263157894735,0.7359105326836264,304,-6.590556581249026,-6.342482280021501
ETH,phase2_general,xgb,phase2_general_xgb,0.02410253920835158,0.03427954053106629,-0.04309347363063032,0.5263157894736842,0.19482655307096733,304,-5.073160768209461,-4.828617989079941
ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.023512778895367677,0.03406106266059036,-0.029839701319752443,0.5230263157894737,0.2279819152999158,304,-2.502146169075637,-2.263587059330935
ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.02468636953774798,0.03503855085113159,-0.08979676853002339,0.5,0.5228621002394082,304,-7.618324061244098,-7.3678577779536045
ETH,phase5_concat,lstm,phase5_concat_lstm,0.02389068208757151,0.03401582865846462,-0.027106208271952648,0.4868421052631579,0.6971010550060723,304,-4.149585989669063,-3.907192698966721
ETH,phase5_concat,xgb,phase5_concat_xgb,0.024038725907504204,0.03430111596863636,-0.04440692650208411,0.5164473684210527,0.3028989449939276,304,-4.794971604772137,-4.551076271200106
ETH,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.023149995949232057,0.033833556045893914,-0.01612827527251781,0.4901315789473684,0.6559315415238023,304,-0.9206218950661804,-0.6857435572559997
ETH,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.024521395690147677,0.03464704475468202,-0.06557896289864584,0.5098684210526315,0.38717211017575387,304,-6.899133296254053,-6.650340826781563
