asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family
BTC,phase5_exploratory,Dual-scope concat vs general for LSTM,phase5_concat_lstm,phase2_general_lstm,0.016878763165638223,0.016646594852021135,0.0002321683136170885,0.00023216831361708805,2.4203230584263693,5,0.016094636335543904,0.0380342286182347,0.9809828856908827,304,0.3218927267108781,0.7226503437464593
BTC,phase5_exploratory,Dual-scope concat vs crypto for LSTM,phase5_concat_lstm,phase3_crypto_lstm,0.016878763165638223,0.016892312072746253,-1.3548907108029695e-05,-1.3548907108033177e-05,-0.10184013926333203,5,0.9189509250589989,0.8916186796915514,0.4458093398457757,304,1.0,1.0
BTC,phase5_exploratory,Reliability fusion vs simple concat for LSTM,phase5_reliability_fusion_lstm,phase5_concat_lstm,0.01673194728003064,0.016878763165638223,-0.00014681588560758185,-0.00014681588560758164,-1.3383686550864082,5,0.1817797057298492,0.24400933957373638,0.12200466978686819,304,1.0,1.0
BTC,phase5_exploratory,Reliability fusion vs general for LSTM,phase5_reliability_fusion_lstm,phase2_general_lstm,0.01673194728003064,0.016646594852021135,8.535242800950665e-05,8.53524280095064e-05,0.9073842295598665,5,0.36492471435288487,0.5131763710070694,0.7434118144964653,304,1.0,1.0
BTC,phase5_exploratory,Reliability fusion vs crypto for LSTM,phase5_reliability_fusion_lstm,phase3_crypto_lstm,0.01673194728003064,0.016892312072746253,-0.00016036479271561155,-0.0001603647927156148,-1.2552642255582303,5,0.210350079241972,0.13375146126545306,0.06687573063272653,304,1.0,1.0
BTC,phase5_exploratory,Dual-scope concat vs general for XGB,phase5_concat_xgb,phase2_general_xgb,0.017137485049991026,0.017169140807534428,-3.16557575434015e-05,-3.165575754340825e-05,-0.10033609258136825,5,0.920143859938913,0.9314214220840131,0.46571071104200656,304,1.0,1.0
BTC,phase5_exploratory,Dual-scope concat vs crypto for XGB,phase5_concat_xgb,phase3_crypto_xgb,0.017137485049991026,0.017472938632981584,-0.00033545358299055805,-0.0003354535829905602,-1.712827155312573,5,0.08776731438955383,0.045835576149056464,0.022917788074528232,304,1.0,0.7961504391958912
BTC,phase5_exploratory,Reliability fusion vs simple concat for XGB,phase5_reliability_fusion_xgb,phase5_concat_xgb,0.017163053279682167,0.017137485049991026,2.5568229691141225e-05,2.556822969114321e-05,0.07529168978169988,5,0.9400323186057973,0.9112338083767269,0.4556169041883634,304,1.0,1.0
BTC,phase5_exploratory,Reliability fusion vs general for XGB,phase5_reliability_fusion_xgb,phase2_general_xgb,0.017163053279682167,0.017169140807534428,-6.087527852260272e-06,-6.087527852265065e-06,-0.018164300343762752,5,0.9855197370835886,0.6443851788845809,0.32219258944229046,304,1.0,1.0
BTC,phase5_exploratory,Reliability fusion vs crypto for XGB,phase5_reliability_fusion_xgb,phase3_crypto_xgb,0.017163053279682167,0.017472938632981584,-0.0003098853532994168,-0.000309885353299417,-0.8876939397532593,5,0.3754094960867771,0.357288099051838,0.178644049525919,304,1.0,1.0
ETH,phase5_exploratory,Dual-scope concat vs general for LSTM,phase5_concat_lstm,phase2_general_lstm,0.023456121974891248,0.023390408607197537,6.571336769371078e-05,6.571336769371095e-05,0.26359546984791893,5,0.7922708222673875,0.8398364948373117,0.5800817525813442,304,1.0,1.0
ETH,phase5_exploratory,Dual-scope concat vs crypto for LSTM,phase5_concat_lstm,phase3_crypto_lstm,0.023456121974891248,0.023191479927215604,0.00026464204767564364,0.0002646420476756479,1.0873577556318086,5,0.27774293263779065,0.3265061283831927,0.8367469358084036,304,1.0,1.0
ETH,phase5_exploratory,Reliability fusion vs simple concat for LSTM,phase5_reliability_fusion_lstm,phase5_concat_lstm,0.0230864091781238,0.023456121974891248,-0.00036971279676744837,-0.00036971279676745346,-1.285871233902681,5,0.19946980552750468,0.2990155956518489,0.14950779782592444,304,1.0,1.0
ETH,phase5_exploratory,Reliability fusion vs general for LSTM,phase5_reliability_fusion_lstm,phase2_general_lstm,0.0230864091781238,0.023390408607197537,-0.0003039994290737376,-0.00030399942907374247,-1.4276260222569233,5,0.15442932908579968,0.32138939223806506,0.16069469611903253,304,1.0,1.0
ETH,phase5_exploratory,Reliability fusion vs crypto for LSTM,phase5_reliability_fusion_lstm,phase3_crypto_lstm,0.0230864091781238,0.023191479927215604,-0.00010507074909180472,-0.00010507074909180559,-0.8875451665509745,5,0.3754894208067966,0.605162052891463,0.3025810264457315,304,1.0,1.0
ETH,phase5_exploratory,Dual-scope concat vs general for XGB,phase5_concat_xgb,phase2_general_xgb,0.023755305837002624,0.023976122039824885,-0.00022081620282226114,-0.00022081620282226453,-0.7791108102973814,5,0.43652250652805435,0.3204358655938093,0.16021793279690466,304,1.0,1.0
ETH,phase5_exploratory,Dual-scope concat vs crypto for XGB,phase5_concat_xgb,phase3_crypto_xgb,0.023755305837002624,0.024170497474870444,-0.00041519163786781985,-0.0004151916378678189,-1.6313872844734878,5,0.10384751609582762,0.04423057995532729,0.022115289977663644,304,1.0,0.7961504391958912
ETH,phase5_exploratory,Reliability fusion vs simple concat for XGB,phase5_reliability_fusion_xgb,phase5_concat_xgb,0.024561501323319898,0.023755305837002624,0.0008061954863172738,0.0008061954863172755,1.9262429285780032,5,0.05500933073596516,0.00834543322434646,0.9958272833878268,304,1.0,0.16690866448692918
