asset,mode,split,rows,mean_crypto_weight,median_crypto_weight,mean_general_news_count,mean_crypto_news_count
BTC,original,train,1066,0.500746060776748,0.5147103826323003,41.88367729831145,40.08348968105066
BTC,original,validation,214,0.2533044294934375,0.2519664881454934,451.6355140186916,43.58878504672897
BTC,original,test,304,0.07282715177010027,0.06906592955767746,3990.5197368421054,24.75986842105263
BTC,normalized,train,1066,0.4996502711773261,0.503318802561102,41.88367729831145,40.08348968105066
BTC,normalized,validation,214,0.4526332613793251,0.4478518932070218,451.6355140186916,43.58878504672897
BTC,normalized,test,304,0.5766976991364484,0.5908506506677197,3990.5197368421054,24.75986842105263
BTC,no_coverage,train,1066,0.49887726161470775,0.49613311634103774,41.88367729831145,40.08348968105066
BTC,no_coverage,validation,214,0.5221162291702525,0.5106344351357033,451.6355140186916,43.58878504672897
BTC,no_coverage,test,304,0.7459731156011413,0.7431773970381893,3990.5197368421054,24.75986842105263
ETH,original,train,1066,0.5013822845784716,0.5119085527379567,41.88367729831145,27.70919324577861
ETH,original,validation,214,0.26957954303595616,0.26412824077473923,451.6355140186916,27.929906542056074
ETH,original,test,304,0.07929465140266174,0.07413550133626301,3990.5197368421054,14.240131578947368
ETH,normalized,train,1066,0.5004922626468514,0.4987990749674425,41.88367729831145,27.70919324577861
ETH,normalized,validation,214,0.4890989572599405,0.4860022039905115,451.6355140186916,27.929906542056074
ETH,normalized,test,304,0.6112333242879577,0.6188157141518973,3990.5197368421054,14.240131578947368
ETH,no_coverage,train,1066,0.4996313289708735,0.49195661958826514,41.88367729831145,27.70919324577861
ETH,no_coverage,validation,214,0.5760707927556356,0.5576032133353817,451.6355140186916,27.929906542056074
ETH,no_coverage,test,304,0.7837387071574933,0.7851972769980484,3990.5197368421054,14.240131578947368
