asset,mode,period,rows,mean_general_news_count,mean_general_weight,corr_log_general_count_general_weight
BTC,original,pre_2025_10,1279,62.72556684910086,0.5283536001476613,0.5108080465022595
BTC,original,post_2025_10,335,3810.4119402985075,0.9170275751528595,0.7910329472987528
BTC,normalized,pre_2025_10,1279,62.72556684910086,0.5068094625269775,0.24863253207892325
BTC,normalized,post_2025_10,335,3810.4119402985075,0.4237310325106598,0.011281802088624742
BTC,no_coverage,pre_2025_10,1279,62.72556684910086,0.4993896830337149,0.03785127923155254
BTC,no_coverage,post_2025_10,335,3810.4119402985075,0.26028592657258115,-0.06348933724953802
ETH,original,pre_2025_10,1279,62.72556684910086,0.5254692334647102,0.5306745128050647
ETH,original,post_2025_10,335,3810.4119402985075,0.9101775051029658,0.8052748474110246
ETH,normalized,pre_2025_10,1279,62.72556684910086,0.5016523167553264,0.2405353242945389
ETH,normalized,post_2025_10,335,3810.4119402985075,0.3896909895036488,0.03717577626643235
ETH,no_coverage,pre_2025_10,1279,62.72556684910086,0.492321917482177,-0.04411792114703647
ETH,no_coverage,post_2025_10,335,3810.4119402985075,0.22215200066946844,-0.05089021085498625
