asset,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,phase5_reliability_fusion_lstm,phase4_decay_only_lstm,0.016912078171252943,0.017086302438613022,-0.00017422426736007912,0.006171890561611217,304
BTC,phase5_reliability_fusion_lstm,phase4_combined_lstm,0.016912078171252943,0.016895069973935962,1.700819731698111e-05,0.4057034282616951,304
BTC,phase5_reliability_fusion_xgb,phase4_decay_only_xgb,0.017416260406756274,0.017682591007603422,-0.00026633060084714846,0.30875265889096376,304
BTC,phase5_reliability_fusion_xgb,phase4_combined_xgb,0.017416260406756274,0.018013054744046214,-0.0005967943372899402,0.09781392953920948,304
ETH,phase5_reliability_fusion_lstm,phase4_decay_only_lstm,0.023149995949232057,0.023301615653506354,-0.00015161970427429727,0.30668932269307303,304
ETH,phase5_reliability_fusion_lstm,phase4_combined_lstm,0.023149995949232057,0.02295704194815469,0.00019295400107736602,0.9002584645701196,304
ETH,phase5_reliability_fusion_xgb,phase4_decay_only_xgb,0.024521395690147677,0.02468636953774801,-0.00016497384760033248,0.5262499186601485,304
ETH,phase5_reliability_fusion_xgb,phase4_combined_xgb,0.024521395690147677,0.024257774014535317,0.0002636216756123598,0.48439869822683573,304
