asset,method,metric,occurrences,min_value,max_value,range,pass_1e_10
ETH,phase2_general_lstm,r2,2,-0.0614493394985788,-0.0614493394985788,0.0,True
ETH,phase2_general_lstm,directional_accuracy,2,0.4835526315789473,0.4835526315789473,0.0,True
ETH,phase2_general_xgb,mae,2,0.0241025392083515,0.0241025392083515,0.0,True
ETH,phase2_general_xgb,rmse,2,0.0342795405310662,0.0342795405310662,0.0,True
ETH,phase2_general_xgb,r2,2,-0.0430934736306303,-0.0430934736306303,0.0,True
ETH,phase2_general_xgb,directional_accuracy,2,0.5263157894736842,0.5263157894736842,0.0,True
ETH,phase3_crypto_lstm,mae,2,0.0235127788953676,0.0235127788953677,1.0061396160665481e-16,True
ETH,phase3_crypto_lstm,rmse,2,0.0340610626605903,0.0340610626605904,9.71445146547012e-17,True
ETH,phase3_crypto_lstm,r2,2,-0.0298397013197526,-0.0298397013197524,1.97758476261356e-16,True
ETH,phase3_crypto_lstm,directional_accuracy,2,0.5230263157894737,0.5230263157894737,0.0,True
ETH,phase3_crypto_xgb,mae,2,0.0246863695377479,0.024686369537748,9.71445146547012e-17,True
ETH,phase3_crypto_xgb,rmse,2,0.0350385508511315,0.0350385508511316,9.71445146547012e-17,True
ETH,phase3_crypto_xgb,r2,2,-0.0897967685300238,-0.0897967685300233,4.996003610813204e-16,True
ETH,phase3_crypto_xgb,directional_accuracy,2,0.5,0.5,0.0,True
ETH,random_walk_zero_return,mae,6,0.0229388161849642,0.0229388161849642,0.0,True
ETH,random_walk_zero_return,rmse,6,0.0335957913281933,0.0335957913281933,0.0,True
ETH,random_walk_zero_return,r2,6,-0.0018968102590299,-0.0018968102590299,0.0,True
