source_phase,asset,comparison,candidate_method,reference_method,candidate_result_id,reference_result_id,candidate_mae_significance,candidate_mae_registry,reference_mae_significance,reference_mae_registry,candidate_abs_diff,reference_abs_diff,pass_1e_10
phase2,ETH,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,phase2__ETH__phase2_xgb,phase2__ETH__random_walk_zero_return,0.0241025392083516,0.0241025392083516,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase2,ETH,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,phase2__ETH__phase2_lstm,phase2__ETH__random_walk_zero_return,0.0244506118447031,0.0244506118447031,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase2,BTC,Phase 2 vs Phase 1 for XGB,phase2_xgb,phase1_xgb,phase2__BTC__phase2_xgb,phase2__BTC__phase1_xgb,0.0171729494837657,0.0171729494837657,0.0177068390992374,0.0177068390992373,0.0,1.0061396160665481e-16,True
phase2,BTC,Phase 2 vs Phase 0 for XGB,phase2_xgb,phase0_xgb,phase2__BTC__phase2_xgb,phase2__BTC__phase0_xgb,0.0171729494837657,0.0171729494837657,0.0175112304956739,0.0175112304956739,0.0,0.0,True
phase2,BTC,Phase 2 LSTM vs ARIMA,phase2_lstm,arima,phase2__BTC__phase2_lstm,phase2__BTC__arima,0.0166148163467547,0.0166148163467547,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase2,BTC,Phase 2 vs Phase 1 for LSTM,phase2_lstm,phase1_lstm,phase2__BTC__phase2_lstm,phase2__BTC__phase1_lstm,0.0166148163467547,0.0166148163467547,0.0169558094125944,0.0169558094125944,0.0,0.0,True
phase2,BTC,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,phase2__BTC__phase2_lstm,phase2__BTC__random_walk_zero_return,0.0166148163467547,0.0166148163467547,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase2,BTC,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,phase2__BTC__phase2_xgb,phase2__BTC__random_walk_zero_return,0.0171729494837657,0.0171729494837657,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase2,BTC,Phase 2 XGB vs ARIMA,phase2_xgb,arima,phase2__BTC__phase2_xgb,phase2__BTC__arima,0.0171729494837657,0.0171729494837657,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase2,BTC,Phase 2 vs Phase 0 for LSTM,phase2_lstm,phase0_lstm,phase2__BTC__phase2_lstm,phase2__BTC__phase0_lstm,0.0166148163467547,0.0166148163467547,0.016727339378903,0.0167273393789029,0.0,1.0061396160665481e-16,True
