asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,benchmark,arima,arima,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304,-0.07315846482126043,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498233847375
BTC,phase0,lstm,phase0_lstm,0.016843869367811945,0.024196374184768103,-0.017411939630948448,0.4769736842105263,0.8051734469290327,304,-1.0742370431418429,-1.0003467400027068
BTC,phase0,xgb,phase0_xgb,0.017511230495674004,0.024907879859560538,-0.07812662265803239,0.4967105263157895,0.568287449734703,304,-5.078840460442661,-5.002022592682581
BTC,phase1,lstm,phase1_lstm,0.016955809412594457,0.024227354094710395,-0.020018901150386403,0.48026315789473684,0.7720180847000842,304,-1.7459505534940853,-1.6715691943118411
BTC,phase1,xgb,phase1_xgb,0.017706839099237443,0.024842170638028238,-0.07244573640230789,0.4967105263157895,0.568287449734703,304,-6.2526200672847,-6.174944108150346
BTC,phase2,lstm,phase2_lstm,0.01661481634675479,0.023984220362033924,0.0003511808835883201,0.5230263157894737,0.2279819152999158,304,0.3002309511315032,0.37311644968617763
BTC,phase2,xgb,phase2_xgb,0.017172949483765756,0.02441376448355418,-0.03577576969638274,0.506578947368421,0.4317125502652969,304,-3.04893305388518,-2.9735991495761516
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304,-0.23327864453482902,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179767107
ETH,phase0,lstm,phase0_lstm,0.023401285561378868,0.03399846869336597,-0.026058109270417518,0.5032894736842105,0.47713789976059184,304,-2.016099578485273,-1.7786716727814544
ETH,phase0,xgb,phase0_xgb,0.024514696804474687,0.034649937669303965,-0.06575691502582681,0.5,0.5228621002394082,304,-6.869930020814844,-6.621205517796234
ETH,phase1,lstm,phase1_lstm,0.023061012796909256,0.03357052636893984,-0.0003904689528619887,0.4967105263157895,0.568287449734703,304,-0.5327067053489063,-0.29873118475547683
ETH,phase1,xgb,phase1_xgb,0.02561700893638133,0.03568936912709805,-0.1306572867234499,0.48026315789473684,0.7720180847000842,304,-11.675374743935192,-11.41546625445464
ETH,phase2,lstm,phase2_lstm,0.024450611844703124,0.03457984272367849,-0.06144933949857978,0.48355263157894735,0.7359105326836264,304,-6.590556581249252,-6.342482280021728
ETH,phase2,xgb,phase2_xgb,0.02410253920835162,0.034279540531066334,-0.04309347363063054,0.5263157894736842,0.19482655307096733,304,-5.073160768209627,-4.828617989080107
