asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,42,0.01672751500620563,0.024123236082919174,-0.011270596635898134,0.506578947368421,0.4317125502652969,304
BTC,phase0,xgb,phase0_xgb,42,0.01756019003388969,0.02479643702426351,-0.06850069689500393,0.5098684210526315,0.38717211017575387,304
BTC,phase1,lstm,phase1_lstm,42,0.016660388847467986,0.024016489368941567,-0.0023405367814455236,0.5,0.5228621002394082,304
BTC,phase1,xgb,phase1_xgb,42,0.018845651384800047,0.026302419478747542,-0.2022302334376722,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,42,0.02332832085925165,0.03404750735563627,-0.029020172372556052,0.506578947368421,0.4317125502652969,304
ETH,phase0,xgb,phase0_xgb,42,0.024387980051102334,0.034349214665183314,-0.04733801670835214,0.4868421052631579,0.6971010550060723,304
ETH,phase1,lstm,phase1_lstm,42,0.023388778722666616,0.03376337483503667,-0.011917121708078238,0.5,0.5228621002394082,304
ETH,phase1,xgb,phase1_xgb,42,0.026023567651570666,0.03649662251564368,-0.18238413854583846,0.4901315789473684,0.6559315415238023,304
