asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.01684387960669268,0.016664849382560683,0.00017903022413199784,0.9204639155138163,304
BTC,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,0.016955809611591904,0.016664849382560683,0.0002909602290312209,0.8978391746744354,304
BTC,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.016955809611591904,0.01667704113051064,0.0002787684810812638,0.8803541122624046,304
BTC,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.016955809611591904,0.01684387960669268,0.00011193000489922306,0.9090914791889588,304
BTC,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.017511230495674004,0.016664849382560683,0.000846381113113321,0.9861997576917183,304
BTC,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.017706839099237443,0.016664849382560683,0.0010419897166767597,0.9922261637015355,304
BTC,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.017706839099237443,0.01667704113051064,0.0010297979687268026,0.9922817256867656,304
BTC,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.017706839099237443,0.017511230495674004,0.0001956086035634387,0.6674529430630047,304
ETH,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.02345742158111039,0.022938816184964295,0.0005186053961460969,0.9813130967973378,304
ETH,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,0.023054258312270447,0.022938816184964295,0.00011544212730615205,0.9134898407940687,304
ETH,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.023054258312270447,0.022992327544432912,6.193076783753484e-05,0.6868715909145768,304
ETH,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.023054258312270447,0.02345742158111039,-0.0004031632688399449,0.09883099743666113,304
ETH,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.024514696804474687,0.022938816184964295,0.0015758806195103926,0.9998237479924768,304
ETH,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.02561700893638133,0.022938816184964295,0.0026781927514170356,0.9999983323587468,304
ETH,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.02561700893638133,0.022992327544432912,0.0026246813919484184,0.9999979474006658,304
ETH,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.02561700893638133,0.024514696804474687,0.001102312131906643,0.9982280729748044,304
