asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,0.01661481634675479,0.016664849382560683,-5.003303580589438e-05,0.26144234273134204,304
BTC,Phase 2 LSTM vs ARIMA,phase2_lstm,arima,0.01661481634675479,0.01667704113053374,-6.222478377895108e-05,0.14724424486343873,304
BTC,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.016955809412594416,0.016727339378902965,0.00022847003369145039,0.9706200521038181,304
BTC,Phase 2 vs Phase 1 for LSTM,phase2_lstm,phase1_lstm,0.01661481634675479,0.016955809412594454,-0.0003409930658396648,0.013213824983955213,304
BTC,Phase 2 vs Phase 0 for LSTM,phase2_lstm,phase0_lstm,0.01661481634675479,0.016727339378903007,-0.0001125230321482179,0.07067455892688176,304
BTC,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,0.017172949483765756,0.016664849382560683,0.000508100101205073,0.9312450836761632,304
BTC,Phase 2 XGB vs ARIMA,phase2_xgb,arima,0.017172949483765756,0.01667704113053374,0.0004959083532320163,0.9279036591152986,304
BTC,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.017706839099237395,0.01751123049567396,0.00019560860356343523,0.6674529430630047,304
BTC,Phase 2 vs Phase 1 for XGB,phase2_xgb,phase1_xgb,0.017172949483765756,0.01770683909923743,-0.0005338896154716728,0.051221921688059356,304
BTC,Phase 2 vs Phase 0 for XGB,phase2_xgb,phase0_xgb,0.017172949483765756,0.017511230495673994,-0.0003382810119082376,0.013191707091231413,304
ETH,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,0.024450611844703124,0.02293881618496429,0.0015117956597388328,0.9999199176623678,304
ETH,Phase 2 LSTM vs ARIMA,phase2_lstm,arima,0.024450611844703124,0.022992327544432912,0.0014582843002702121,0.9998761261376055,304
ETH,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.023061012796909208,0.02377784645725665,-0.0007168336603474434,0.012084810062082302,304
ETH,Phase 2 vs Phase 1 for LSTM,phase2_lstm,phase1_lstm,0.024450611844703124,0.02306101279690925,0.0013895990477938748,0.9984113689458126,304
ETH,Phase 2 vs Phase 0 for LSTM,phase2_lstm,phase0_lstm,0.024450611844703124,0.023777846457256686,0.0006727653874464383,0.9923093753819499,304
ETH,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,0.02410253920835162,0.02293881618496429,0.0011637230233873287,0.9976060025245975,304
ETH,Phase 2 XGB vs ARIMA,phase2_xgb,arima,0.02410253920835162,0.022992327544432912,0.001110211663918708,0.9970133882324231,304
ETH,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.02561700893638129,0.024514696804474635,0.0011023121319066534,0.9982280729748044,304
ETH,Phase 2 vs Phase 1 for XGB,phase2_xgb,phase1_xgb,0.02410253920835162,0.025617008936381313,-0.001514469728029693,0.0006632777579097803,304
ETH,Phase 2 vs Phase 0 for XGB,phase2_xgb,phase0_xgb,0.02410253920835162,0.02451469680447467,-0.00041215759612305003,0.0564232442865598,304
