asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,benchmark,arima,arima,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304,-0.07315846482126043,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498233847375
BTC,phase3_reference,lstm,phase3_reference_lstm,0.01704013546448762,0.024296840382883652,-0.025878308528432203,0.48026315789473684,0.7720180847000842,304,-2.2519620388508477,-2.1772107600616026
BTC,phase3_reference,xgb,phase3_reference_xgb,0.017682591007603388,0.024922185823046873,-0.07936543298683207,0.4901315789473684,0.6559315415238023,304,-6.107115652108704,-6.029546063951366
BTC,phase4_combined,lstm,phase4_combined_lstm,0.01689506997393597,0.024241159012464344,-0.021181660301751393,0.48355263157894735,0.7359105326836264,304,-1.3814741801159327,-1.3073592713220747
BTC,phase4_combined,xgb,phase4_combined_xgb,0.01801305474404623,0.02544660491210955,-0.125267924816725,0.5098684210526315,0.38717211017575387,304,-8.090114291080294,-8.011095032118163
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.01708630243861303,0.0243459998345674,-0.03003379814196805,0.47039473684210525,0.8620948714078855,304,-2.5289940903599453,-2.4540402873383727
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.017682591007603436,0.024922185823046915,-0.07936543298683274,0.4901315789473684,0.6559315415238023,304,-6.1071156521089955,-6.029546063951657
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.01684802745023663,0.024214718121418313,-0.018955180334773614,0.48355263157894735,0.7359105326836264,304,-1.099188258296761,-1.0252797145761927
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.01801305474404623,0.02544660491210955,-0.125267924816725,0.5098684210526315,0.38717211017575387,304,-8.090114291080294,-8.011095032118163
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304,-0.23327864453482902,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179767107
ETH,phase3_reference,lstm,phase3_reference_lstm,0.023512778895367677,0.03406106266059036,-0.029839701319752443,0.5230263157894737,0.2279819152999158,304,-2.502146169075637,-2.263587059330935
ETH,phase3_reference,xgb,phase3_reference_xgb,0.02468636953774798,0.03503855085113159,-0.08979676853002339,0.5,0.5228621002394082,304,-7.618324061244098,-7.3678577779536045
ETH,phase4_combined,lstm,phase4_combined_lstm,0.022957041948154698,0.03356085378294721,0.00018592765877034623,0.4967105263157895,0.568287449734703,304,-0.07945380896488169,0.15346683022857954
ETH,phase4_combined,xgb,phase4_combined_xgb,0.02425777401453533,0.034104636237847305,-0.03247628980635198,0.4967105263157895,0.568287449734703,304,-5.749894933268513,-5.503777151995291
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.02330161565350637,0.033845435682045066,-0.01684196634313806,0.5098684210526315,0.38717211017575387,304,-1.5815963021661132,-1.3451796407986707
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.024686369537748026,0.03503855085113162,-0.08979676853002383,0.5,0.5228621002394082,304,-7.618324061244294,-7.367857777953802
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.022989120154932347,0.033605517556010774,-0.002477007171710399,0.5197368421052632,0.26408946731637356,304,-0.21929627737733076,0.013949825194369863
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.02425777401453533,0.034104636237847305,-0.03247628980635198,0.4967105263157895,0.568287449734703,304,-5.749894933268513,-5.503777151995291
