asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,benchmark,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304
BTC,benchmark,arima,arima,benchmark,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304
BTC,phase3_reference,lstm,phase3_reference_lstm,42,0.01689899663214217,0.024237415567534178,-0.020866292365455674,0.48355263157894735,0.7359105326836264,304
BTC,phase3_reference,lstm,phase3_reference_lstm,123,0.017125774219189996,0.024312716269356497,-0.027219392248721164,0.47368421052631576,0.8352204939490167,304
BTC,phase3_reference,lstm,phase3_reference_lstm,2024,0.0172691961294969,0.024493566115413368,-0.04255814749279119,0.45394736842105265,0.9519508258782371,304
BTC,phase3_reference,lstm,phase3_reference_lstm,2025,0.01696753041213294,0.024294797011349283,-0.025705762439912627,0.4934210526315789,0.6128278898242461,304
BTC,phase3_reference,lstm,phase3_reference_lstm,7,0.017020439222488682,0.02425688371144417,-0.022506925514001574,0.46381578947368424,0.9064834941780341,304
BTC,phase3_reference,xgb,phase3_reference_xgb,42,0.0177928490902467,0.02500213564728644,-0.08630170203046061,0.5032894736842105,0.47713789976059184,304
BTC,phase3_reference,xgb,phase3_reference_xgb,123,0.017513901719660448,0.024717252990529688,-0.061687371029753635,0.506578947368421,0.4317125502652969,304
BTC,phase3_reference,xgb,phase3_reference_xgb,2024,0.018085483396950732,0.02547228855031033,-0.1275405705745558,0.4868421052631579,0.6971010550060723,304
BTC,phase3_reference,xgb,phase3_reference_xgb,2025,0.01792784007890155,0.025114455442118423,-0.09608384644620238,0.46710526315789475,0.8858173157079974,304
BTC,phase3_reference,xgb,phase3_reference_xgb,7,0.017584610243040213,0.024943087897427243,-0.08117670568947122,0.4967105263157895,0.568287449734703,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,42,0.016780994070866032,0.024181526810936122,-0.01616371453280885,0.5032894736842105,0.47713789976059184,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,123,0.017005221200596894,0.024363369424223076,-0.03150407225390639,0.48355263157894735,0.7359105326836264,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,2024,0.016793327194874558,0.024183700161091087,-0.016346381146780997,0.48355263157894735,0.7359105326836264,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,2025,0.01689825737683415,0.02425735741112468,-0.022546861883328884,0.48026315789473684,0.7720180847000842,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,7,0.01682592873119118,0.024170084723653704,-0.015202296075114807,0.48026315789473684,0.7720180847000842,304
