asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase3_reference,lstm,phase3_reference_lstm,0.01689231207274622,0.024101773937600726,-0.009471967171757356,0.48355263157894735,0.7359105326836264,304
BTC,phase3_reference,xgb,phase3_reference_xgb,0.017472938632981553,0.024748591636538638,-0.06438127371788083,0.5164473684210527,0.3028989449939276,304
BTC,phase4_combined,lstm,phase4_combined_lstm,0.016859391843136777,0.024296637415591574,-0.02586116894407975,0.46381578947368424,0.9064834941780341,304
BTC,phase4_combined,xgb,phase4_combined_xgb,0.01782732304409414,0.025184182633040415,-0.10217857883381543,0.5131578947368421,0.3440684584761977,304
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.01691260373830153,0.024202413710868162,-0.017919904401860087,0.4934210526315789,0.6128278898242461,304
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.017472938632981595,0.024748591636538676,-0.06438127371788105,0.5164473684210527,0.3028989449939276,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.01685300123773824,0.02426996475723883,-0.02361004053728455,0.47368421052631576,0.8352204939490167,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.01782732304409414,0.025184182633040415,-0.10217857883381543,0.5131578947368421,0.3440684584761977,304
ETH,phase3_reference,lstm,phase3_reference_lstm,0.02319147992721556,0.03387387804797721,-0.018551712009915455,0.5032894736842105,0.47713789976059184,304
ETH,phase3_reference,xgb,phase3_reference_xgb,0.024170497474870406,0.03459467139112457,-0.062359884651218556,0.506578947368421,0.4317125502652969,304
ETH,phase4_combined,lstm,phase4_combined_lstm,0.023025584115638015,0.033652018792805556,-0.005253258010520012,0.5197368421052632,0.26408946731637356,304
ETH,phase4_combined,xgb,phase4_combined_xgb,0.024399104102367234,0.034281796299489076,-0.043230759877895375,0.5098684210526315,0.38717211017575387,304
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.023141834607642922,0.033699990393587384,-0.008121316543109547,0.5296052631578947,0.16477950605098335,304
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.024170497474870455,0.03459467139112461,-0.062359884651219444,0.506578947368421,0.4317125502652969,304
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.023077000443940964,0.033648159773022705,-0.0050227179168707,0.5263157894736842,0.19482655307096733,304
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.024399104102367234,0.034281796299489076,-0.043230759877895375,0.5098684210526315,0.38717211017575387,304
