asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family
BTC,news_scope,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.016892312072746263,0.016646594852021135,0.0002457172207251286,0.00024571722072512774,1.575846604589271,5,0.11610463639137261,0.14581134491870545,0.9270943275406472,304,0.46441854556549045,0.5832453796748218
BTC,news_scope,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,0.017472938632981595,0.017169140807534428,0.00030379782544716696,0.0003037978254471602,0.8358351402530022,5,0.40390627932152334,0.41473931179403034,0.7926303441029848,304,0.8078125586430467,1.0
ETH,news_scope,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.023191479927215607,0.023390408607197537,-0.0001989286799819294,-0.00019892867998193314,-1.447147830880873,5,0.14888929602462184,0.3431668674496392,0.1715834337248196,304,0.46441854556549045,1.0
ETH,news_scope,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,0.024170497474870455,0.023976122039824885,0.00019437543504556912,0.0001943754350455679,0.4810008938731811,5,0.6308630083275945,0.6156697398182867,0.6921651300908567,304,0.8078125586430467,1.0
