asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,0.016749781226675947,0.024146354911483318,-0.013209855071439902,0.5,0.5228621002394082,304
BTC,phase0,xgb,phase0_xgb,0.01747738950258969,0.024731225616596124,-0.06288805086403682,0.4868421052631579,0.6971010550060723,304
BTC,phase2_general,lstm,phase2_general_lstm,0.016646594852021093,0.024040289538178317,-0.004328145756438362,0.5263157894736842,0.19482655307096733,304
BTC,phase2_general,xgb,phase2_general_xgb,0.017169140807534393,0.024224387347931295,-0.019769104784199687,0.5263157894736842,0.19482655307096733,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.016892312072746263,0.02410177393760076,-0.009471967171757578,0.48355263157894735,0.7359105326836264,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.017472938632981595,0.024748591636538676,-0.06438127371788105,0.5164473684210527,0.3028989449939276,304
ETH,phase0,lstm,phase0_lstm,0.023306056249634853,0.033983866799378426,-0.02517694168008555,0.5197368421052632,0.26408946731637356,304
ETH,phase0,xgb,phase0_xgb,0.024515127400033775,0.03447921704382303,-0.05528079456594237,0.48355263157894735,0.7359105326836264,304
ETH,phase2_general,lstm,phase2_general_lstm,0.0233904086071975,0.03407579982944291,-0.030731053713132228,0.5427631578947368,0.07574863286906915,304
ETH,phase2_general,xgb,phase2_general_xgb,0.023976122039824847,0.03416976347188764,-0.036423350169408675,0.5296052631578947,0.16477950605098335,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.023191479927215607,0.033873878047977236,-0.018551712009915677,0.5032894736842105,0.47713789976059184,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.024170497474870455,0.03459467139112461,-0.062359884651219444,0.506578947368421,0.4317125502652969,304
