asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,42,0.016779822645300115,0.024138305580051617,-0.01253444856855479,0.5131578947368421,0.3440684584761977,304
BTC,phase0,lstm,phase0_lstm,123,0.0168251952099268,0.02416352155830209,-0.014651033141585224,0.4868421052631579,0.6971010550060723,304
BTC,phase0,lstm,phase0_lstm,2024,0.016736970365715566,0.024163737332173016,-0.014669154354426617,0.4901315789473684,0.6559315415238023,304
BTC,phase0,lstm,phase0_lstm,2025,0.01676582156183361,0.02413851091504026,-0.01255167509948163,0.46381578947368424,0.9064834941780341,304
BTC,phase0,lstm,phase0_lstm,7,0.017089599893195438,0.024400556918136567,-0.03465538731015849,0.5197368421052632,0.26408946731637356,304
BTC,phase0,xgb,phase0_xgb,42,0.01756019003388969,0.02479643702426351,-0.06850069689500393,0.5098684210526315,0.38717211017575387,304
BTC,phase0,xgb,phase0_xgb,123,0.01745790101158737,0.024827098459681368,-0.07114478809766056,0.5032894736842105,0.47713789976059184,304
BTC,phase0,xgb,phase0_xgb,2024,0.017730280636384255,0.024843490666492666,-0.07255971166887232,0.47368421052631576,0.8352204939490167,304
BTC,phase0,xgb,phase0_xgb,2025,0.017601876747324198,0.025002221657288305,-0.08630917602975474,0.4967105263157895,0.568287449734703,304
BTC,phase0,xgb,phase0_xgb,7,0.017415341741584604,0.024671701959459287,-0.057777843330391265,0.5263157894736842,0.19482655307096733,304
ETH,phase0,lstm,phase0_lstm,42,0.023451144859066454,0.03423306441005471,-0.04026694363982375,0.5098684210526315,0.38717211017575387,304
ETH,phase0,lstm,phase0_lstm,123,0.023802123102850913,0.03459923634218903,-0.06264027123434679,0.5131578947368421,0.3440684584761977,304
ETH,phase0,lstm,phase0_lstm,2024,0.023277095635725473,0.03389287853804641,-0.019694681786554646,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,2025,0.024112729503273395,0.03468408552975854,-0.06785857833905551,0.5164473684210527,0.3028989449939276,304
ETH,phase0,lstm,phase0_lstm,7,0.02331960371510262,0.0338071322510653,-0.01454171545587335,0.5263157894736842,0.19482655307096733,304
ETH,phase0,xgb,phase0_xgb,42,0.024387980051102334,0.034349214665183314,-0.04733801670835214,0.4868421052631579,0.6971010550060723,304
ETH,phase0,xgb,phase0_xgb,123,0.024792820015666076,0.03475569663641805,-0.0722726764187922,0.4934210526315789,0.6128278898242461,304
ETH,phase0,xgb,phase0_xgb,2024,0.024503961170316238,0.03447843475894145,-0.055232909438775346,0.5296052631578947,0.16477950605098335,304
ETH,phase0,xgb,phase0_xgb,2025,0.024983815292892286,0.035058839697471866,-0.09105921347572177,0.5032894736842105,0.47713789976059184,304
ETH,phase0,xgb,phase0_xgb,7,0.024712484662817794,0.03452527690916008,-0.05810212064294329,0.5131578947368421,0.3440684584761977,304
