asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,0.01674978122667599,0.024146354911483352,-0.013209855071440124,0.5,0.5228621002394082,304
BTC,phase0,xgb,phase0_xgb,0.017477389502589737,0.02473122561659616,-0.06288805086403704,0.4868421052631579,0.6971010550060723,304
ETH,phase0,lstm,phase0_lstm,0.023306056249634898,0.03398386679937846,-0.025176941680085996,0.5197368421052632,0.26408946731637356,304
ETH,phase0,xgb,phase0_xgb,0.02451512740003382,0.03447921704382307,-0.05528079456594304,0.48355263157894735,0.7359105326836264,304
