asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.01672733937890301,0.016664849382560683,6.248999634232699e-05,0.8132411475497451,304
BTC,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,0.01672733937890301,0.01667704113053374,5.02982483692703e-05,0.6366212316507115,304
BTC,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.017511230495674004,0.016664849382560683,0.000846381113113321,0.9861997576917183,304
BTC,Phase 0 XGB vs ARIMA,phase0_xgb,arima,0.017511230495674004,0.01667704113053374,0.0008341893651402643,0.9820166504285749,304
ETH,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.023777846457256696,0.02293881618496429,0.0008390302722924049,0.9980379531278813,304
ETH,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,0.023777846457256696,0.022992327544432912,0.0007855189128237842,0.9968800848977224,304
ETH,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.024514696804474687,0.02293881618496429,0.001575880619510396,0.9998237479924768,304
ETH,Phase 0 XGB vs ARIMA,phase0_xgb,arima,0.024514696804474687,0.022992327544432912,0.0015223692600417754,0.9997565850866083,304
